시군명,시설구분명,시설명,소재지우편번호,행정동,소재지지번주소,소재지도로명주소,WGS84위도,WGS84경도
오산시,체육도장업,올바른 매홀 태권도장,447738,신장동,경기도 오산시 수청동 533번지 대우(아) 제2상가 201호,"경기도 오산시 매홀로 71, 2층 201호 (수청동, 오산대우아파트 제2상가동)",37.16283461,127.0618308
오산시,체육도장업,고려 승리 태권도,447805,대원동,경기도 오산시 원동 380-1번지 3층,경기도 오산시 밀머리로 45 (원동),37.1378681,127.0753058
오산시,체육도장업,우리아이 태권도장,18122,남촌동,경기도 오산시 궐동 670-7 창용빌딩 4층 ,"경기도 오산시 궐리사로 44, 창용빌딩 4층 (궐동)",37.15986781,127.0572459
오산시,구기체육관,오산죽미체육공원 다목적체육관,18109,신장동,경기도 오산시 금암동 508번지,경기도 오산시 수청로 204-26,37.178638,127.0422832
오산시,구기체육관,오산 맑음터공원 배드민턴장,,중앙동,,경기도 오산시 오산천로 275,,
오산시,구기체육관,오산 실내배드민턴장,18130,중앙동,경기도 오산시 오산동 750-1번지,경기도 오산시 오산천로 52,37.1382527,127.0644453
오산시,체육도장업,두빛나래 비상 태권도장,447330,대원동,"경기도 오산시 청호동 1블럭 휴먼시아아파트 주상가동 204,205호","경기도 오산시 남부대로 486-19, 2층 204호,205호호 (청호동, 제주상가)",37.12945327,127.0875303
오산시,테니스,오산시청 테니스장,18132,중앙동,경기도 오산시 오산동 915번지,경기도 오산시 성호대로 141 (오산동),37.1498057,127.0774446
오산시,테니스,오산 테니스장,18131,중앙동,경기도 오산시 오산동 345-2번지,경기도 오산시 오산천로 267 (오산동),37.1556398,127.0702232
오산시,테니스,죽미체육공원테니스장,,세마동,경기도 오산시 세교동 627,,37.17944,127.0419233
오산시,수영장,오산스포츠센터 수영장,18131,중앙동,경기도 오산시 오산동 40번지,경기도 오산시 경기동로 33,37.1587541,127.0757197
오산시,수영장,세교복지타운 수영장,18131,중앙동,경기도 오산시 오산동 40번지,경기도 오산시 경기동로 33,37.1587541,127.0757197
오산시,수영장,원동초스포츠센터,18146,대원동,경기도 오산시 원동 805번지,경기도 오산시 오산로 92,37.1351683,127.0696986
오산시,육상시설,오산시종합운동장,18131,중앙동,경기도 오산시 오산동 49번지,경기도 오산시 경기동로 15,37.1571965,127.0738045
오산시,기타시설,죽미인공암벽장 (실외),,세마동,경기도 오산시 세교동 627,,37.17944,127.0419233
오산시,기타시설,오산스포츠센터  인공암벽장,18131,중앙동,경기도 오산시 오산동 40번지,경기도 오산시 경기동로 33,37.1587541,127.0757197
오산시,테니스,오산시청 테니스장,18132,중앙동,경기도 오산시 오산동 915번지,경기도 오산시 성호대로 141 (오산동),37.1498057,127.0774446
오산시,테니스,오산 테니스장,18131,중앙동,경기도 오산시 오산동 345-2번지,경기도 오산시 오산천로 267 (오산동),37.1556398,127.0702232
오산시,테니스,죽미체육공원테니스장,,세마동,경기도 오산시 세교동 627,,37.17944,127.0419233
오산시,체육도장업,오산유도체육관,447801,중앙동,경기도 오산시 오산동 861-18번지,경기도 오산시 시장길 6-1  (오산동),37.1495312,127.0693398
오산시,체육도장업,운암으뜸체육관,18140,대원동,경기도 오산시 원동 815-9번지 운암프라자 상가 3층 302호 ,"경기도 오산시 대원로 72 (원동, 운암주공프라자)",37.14597695,127.0763378
오산시,체육도장업,동부태권도장,447310,대원동,경기도 오산시 갈곶동 220-14번지 동부2차a상가105호,"경기도 오산시 경기대로25번길 14  (갈곶동,동부2차a상가105호)",37.1292309,127.0687256
오산시,체육도장업,경희대태권도아카데미,447310,대원동,경기도 오산시 갈곶동 220-14번지 동부2차 상가동 105-108호,"경기도 오산시 경기대로25번길 14, 상가동 105-108호 (갈곶동,동부2차)",37.1292309,127.0687256
오산시,체육도장업,용인대푸르지오태권도,447060,대원동,경기도 오산시 원동 826-2번지 푸르지오아파트상가동 301호,경기도 오산시 남부대로 411-13 (원동),37.1362236,127.0824958
오산시,체육도장업,경희대 나우 태권도 도장,18149,대원동,경기도 오산시 원동 31-2번지 2층 ,"경기도 오산시 부원로 67-3 (원동, 경희대엄지체육관)",37.14300573,127.0865549
오산시,체육도장업,청솔태권도,447160,초평동,경기도 오산시 누읍동 443-2번지,경기도 오산시 누읍로 10  (누읍동),37.1413954,127.0487244
오산시,체육도장업,멋진친구 스포츠 클럽,18127,초평동,경기도 오산시 누읍동 274-2번지 ,"경기도 오산시 수목원로49번길 25, 3층 (누읍동, 윤수빌딩)",37.13916866,127.0518407
오산시,체육도장업,한국체육관,18144,대원동,경기도 오산시 원동 380-1번지,"경기도 오산시 밀머리로 45 (원동, 동진빌딩)",37.1378681,127.0753058
오산시,체육도장업,오산복싱＆킥복싱 멀티짐,18133,중앙동,"경기도 오산시 오산동 925-6번지 401,2호","경기도 오산시 성호대로 123 (오산동, 오산그린프라자)",37.14895112,127.0751701
오산시,체육도장업,세교 경희대 태권도 도장,447280,신장동,"경기도 오산시 금암동 483번지 죽미마을 휴먼시아 8단지 아파트 상가동 203,204호","경기도 오산시 수청로 168, 상가동 2층 203,204호 (금암동)",37.17896986,127.0466751
오산시,체육도장업,용인대 대원 명문 태권도장,18146,대원동,경기도 오산시 갈곶동 259 신웅빌딩 302호,"경기도 오산시 경기대로 53 (갈곶동, 신웅빌딩)",37.12974892,127.071235
오산시,체육도장업,경희대석사 와우 태권도,447280,신장동,경기도 오산시 금암동 세교A-2BL 상가동동 301호,,37.1781765,127.0478119
오산시,체육도장업,유일태권도장,447290,신장동,경기도 오산시 수청동 522-2번지 301호,"경기도 오산시 청학로173번길 34,  301호 (수청동)",37.1638354,127.060368
오산시,체육도장업,용인대 슈퍼아이 다온 태권도,18148,중앙동,경기도 오산시 부산동 495번지 시티자이 1단지 ,"경기도 오산시 부산중앙로 11, 상가동 201,202호 (부산동, 시티자이 1단지)",37.14961747,127.089275
오산시,체육도장업,용인대 바른 태권도장,18129,중앙동,경기도 오산시 오산동 532-5번지 2층 ,경기도 오산시 성산새싹길 2 (오산동),37.14933496,127.0656926
오산시,체육도장업,제일태권도,447804,대원동,경기도 오산시 원동 562-19번지 대성빌딩 2층,"경기도 오산시 밀머리로1번길 28  (원동,대성빌딩 2층)",37.1414444,127.0766373
오산시,체육도장업,용인대 태권도장,447060,대원동,경기도 오산시 원동 811-12번지 503호,"경기도 오산시 운암로 17  (원동,503호)",37.1476711,127.0759455
오산시,체육도장업,국가대표 히어로즈 태권도,18146,대원동,경기도 오산시 원동 806-5번지 로얄프라자 ,"경기도 오산시 경기대로 105, 로얄프라자 502호 (원동)",37.13422978,127.0721962
오산시,체육도장업,용인대고현태권도장,447060,대원동,경기도 오산시 원동 826-2번지 원동대우푸르지오아파트 상가 3동 301호,"경기도 오산시 남부대로 411-13, 3동 301호 (원동,원동대우푸르지오아파트 상가)",37.1362236,127.0824958
오산시,체육도장업,경희대 문무체육관,447741,신장동,경기도 오산시 수청동 569번지 우미이노스빌 상가동 301호,"경기도 오산시 수청로 31, 301호 (수청동, 우미이노스빌 상가동)",37.17274858,127.056614
오산시,체육도장업,해동도법검도,447150,초평동,경기도 오산시 가수동 3026번지,,37.1462524,127.0478043
오산시,체육도장업,경희대 영웅 태권도 도장,18143,대원동,경기도 오산시 원동 345-12번지 3층 301호,"경기도 오산시 오산로160번길 7 (원동, 원동G MATE)",37.14147576,127.0694791
오산시,체육도장업,무도체육관,18144,대원동,경기도 오산시 원동 374-1번지,경기도 오산시 밀머리로 8 (원동),37.141203,127.0736094
오산시,체육도장업,현 태권도장,18114,신장동,경기도 오산시 수청동 15-11 ,"경기도 오산시 박동길 7 (수청동, 럭키마트)",37.16534536,127.0686462
오산시,체육도장업,경희대 푸른 태권도장,447060,대원동,경기도 오산시 원동 826-2 B101호,경기도 오산시 남부대로 411-13 (원동),37.13630657,127.0825584
오산시,체육도장업,EL태권도,18108,신장동,경기도 오산시 금암동 502-1번지 ,"경기도 오산시 수목원로 466, 603호 (금암동)",37.17527266,127.0500029
오산시,체육도장업,경희대가수태권도,447150,초평동,경기도 오산시 가수동 398-1번지 늘푸른오스카빌상가 3동 301호,"경기도 오산시 가수로 31, 3동 301호 (가수동,늘푸른오스카빌상가)",37.1462791,127.0489187
오산시,체육도장업,경희대드림태권도,18121,남촌동,경기도 오산시 궐동 621-1번지 가동,경기도 오산시 궐리사로29번길 18 (궐동),37.1611432,127.0564481
오산시,체육도장업,오산프라임복싱클럽,18120,남촌동,경기도 오산시 청학동 642-4번지 4층 ,경기도 오산시 청학로 93 (청학동),37.15725584,127.0643932
오산시,체육도장업,Muscle Lim 복싱 Gym,18146,대원동,경기도 오산시 갈곶동 126-23번지 3층,경기도 오산시 오산로 126-23 (갈곶동),37.1326996,127.0693025
오산시,체육도장업,경희대 석사태권도장,447270,세마동,경기도 오산시 양산동 669-6번지 401호,"경기도 오산시 양산로410번길 16, 4층 401호 (양산동)",37.19511239,127.0304542
오산시,체육도장업,오산중앙체육관,447803,대원동,경기도 오산시 원동 31-1번지,경기도 오산시 부원로 67-7  (원동),37.1431407,127.0867801
오산시,체육도장업,용인대 명문 태권도장,447706,대원동,경기도 오산시 갈곶동 251 우림아파트상가 2층 ,"경기도 오산시 경기대로 74, 2층 (갈곶동, 우림아파트 상가 )",37.13095719,127.0738401
오산시,체육도장업,한라합기도,447804,대원동,경기도 오산시 원동 495번지 외 1필지(한빛프라자 305호),"경기도 오산시 경기대로 108  (원동,외 1필지(한빛프라자 305호))",37.134112,127.0731977
오산시,체육도장업,유일체육관,447290,신장동,경기도 오산시 수청동 522-2번지 신성상가 1층,"경기도 오산시 청학로173번길 34  (수청동,신성상가 1층)",37.1638354,127.060368
오산시,체육도장업,드림 경희대 태권도장,18121,남촌동,경기도 오산시 궐동 621-1 ,경기도 오산시 궐리사로29번길 18 (궐동),37.16123518,127.0565058
오산시,체육도장업,용인대체육관,447290,신장동,경기도 오산시 수청동 대우a제2상가101호,,37.1781765,127.0478119
오산시,체육도장업,오산시 유도회관,18150,대원동,경기도 오산시 원동 624-4번지,경기도 오산시 남부대로441번길 70-6 (원동),37.1391686,127.0845022
오산시,체육도장업,한국키즈태권도,447050,중앙동,경기도 오산시 부산동 778-8번지 206호 ,"경기도 오산시 운암로 124, 206호 (부산동)",37.15703114,127.078949
오산시,체육도장업,김성범 유도 멀티짐,18139,대원동,경기도 오산시 원동 755-3번지 2층 ,"경기도 오산시 경기대로 260, 2층 (원동)",37.14783461,127.0738633
오산시,체육도장업,운산검도관,18133,중앙동,경기도 오산시 오산동 925-11번지 한진프라자 5층 ,"경기도 오산시 운암로 35 (오산동, 한진프라자)",37.14950029,127.0759473
오산시,체육도장업,세교 검도관,18110,신장동,경기도 오산시 수청동 558-6번지 ,"경기도 오산시 수청로 30, 203호 (수청동)",37.17266658,127.0585619
오산시,체육도장업,청명태권도장,18108,신장동,경기도 오산시 금암동 501-4번지 2층 ,"경기도 오산시 수목원로 6-11, 2층 (금암동)",37.17485953,127.0507489
오산시,체육도장업,MTA 독수리 태권도 도장,18146,대원동,경기도 오산시 갈곶동 152-11 ,"경기도 오산시 오산로62번길 6-4 (갈곶동, 독수리태권도장)",37.13182429,127.0693319
오산시,체육도장업,용인대 원일 태권도장,447746,대원동,경기도 오산시 원동 900번지 원동e-편한세상2단지상가동 301~3호,"경기도 오산시 오산로132번길 10, 301~302호 (원동)",37.13725822,127.0706121
오산시,체육도장업,용인대 유일 태권도,447290,신장동,경기도 오산시 수청동 522-2번지 ,경기도 오산시 청학로173번길 34 (수청동),37.16383549,127.060368
오산시,체육도장업,원일 태권도,447060,대원동,경기도 오산시 원동 900번지 대림e편한세상 2단지내상가 301,경기도 오산시 오산로132번길 8 대림e편한세상 2단지내상가 301 (원동),37.1372582,127.070612
오산시,체육도장업,오산경희체육관,447060,대원동,경기도 오산시 원동 동부.삼환a 상가2층,,37.1399767,127.0750939
오산시,체육도장업,용인대 국가대표 태권도장,18147,대원동,경기도 오산시 갈곶동 659-2번지 한솔프라자 202호,"경기도 오산시 오산로 93, 2층 (갈곶동, 한솔프라자 )",37.13511489,127.0685281
오산시,체육도장업,정석태권도장,18110,신장동,경기도 오산시 수청동 581번지 물향기마을휴먼시아꿈에그린 ,"경기도 오산시 수목원로 422, 물향기마을휴먼시아꿈에그린 202호 (수청동)",37.17194809,127.0533368
오산시,체육도장업,용인대 청호 태권도장,18150,대원동,경기도 오산시 고현동 23-26 ,"경기도 오산시 남부대로 411-12, 303,304호 (고현동)",37.13584487,127.081998
오산시,체육도장업,용인대 석사 청호 태권도장,18151,대원동,경기도 오산시 청호동 322 오산자이 상가 ,"경기도 오산시 동부대로 332-10, 오산자이 상가 202,203,205,206,207호 (청호동)",37.13150007,127.079455
오산시,체육도장업,경희대라이온태권도,447140,남촌동,경기도 오산시 궐동 621-1번지 가동,"경기도 오산시 궐리사로29번길 18, 가동 (궐동)",37.1611432,127.0564481
오산시,체육도장업,명성체육관,447801,중앙동,경기도 오산시 오산동 855-16번지,경기도 오산시 성호새싹길 21  (오산동),37.1506931,127.0700837
오산시,체육도장업,용인대태권도,447060,대원동,경기도 오산시 원동 811-12번지 403호,"경기도 오산시 운암로 17,  403호 (원동)",37.1476711,127.0759455
오산시,체육도장업,우슈태극권스포츠센타,447010,중앙동,경기도 오산시 오산동 925-3번지 화성프라자(4층),"경기도 오산시 운천로 74  (오산동,화성프라자(4층))",37.1492577,127.0747201
오산시,체육도장업,용인대 부부 백호 태권도장,18109,신장동,경기도 오산시 금암동 516-1번지 센타프라자 601호,"경기도 오산시 수청로 201 (금암동, 센타프라자)",37.17622241,127.0446692
오산시,체육도장업,용안대 석사 태권도,447310,대원동,경기도 오산시 갈곶동 342번지 10호,"경기도 오산시 동부대로 332-6  (갈곶동,10호)",37.1312794,127.0785293
오산시,체육도장업,경희대가훈태권도체육관,447010,중앙동,경기도 오산시 오산동 923-2번지,,37.1516164,127.0780318
오산시,체육도장업,박사태권도,447803,대원동,경기도 오산시 원동 31-2번지,경기도 오산시 부원로 67-3  (원동),37.1430057,127.0865886
오산시,체육도장업,오산검도관,18147,대원동,경기도 오산시 갈곶동 667번지 (2층) ,경기도 오산시 오산로 91-12 (갈곶동),37.13550226,127.0686748
오산시,체육도장업,ESD 복싱짐,447280,신장동,"경기도 오산시 금암동 516-2번지 정원프라자 502,3호","경기도 오산시 수청로 199, 5층 502,503호 (금암동, 정원프라자)",37.1763575,127.0447593
오산시,체육도장업,한국 키즈 태권도장,18134,중앙동,"경기도 오산시 오산동 919-17번지 4층(404,405,406호) ","경기도 오산시 운암로 113 (오산동, 404,405,406호)",37.15636494,127.078059
오산시,체육도장업,용인대 튼튼 태권도장,18148,중앙동,경기도 오산시 부산동 690번지 ,"경기도 오산시 부산중앙로 25-6, 4층 402, 403, 404호 (부산동)",37.15080581,127.0906947
오산시,체육도장업,오산태권도장,18115,남촌동,경기도 오산시 궐동 45-2번지 202호 ,경기도 오산시 오산로348번길 3 (궐동),37.15816423,127.0675349
오산시,체육도장업,경희대 L.S 태권도장,18105,세마동,경기도 오산시 양산동 668-1번지 세마이편한세상 상가동 301~3호,"경기도 오산시 양산로 462 (양산동, 세마이편한세상)",37.1958052,127.0344304
오산시,체육도장업,운천 용인대 국가대표 태권도장,447010,중앙동,경기도 오산시 오산동 919-17번지 4층 401호 ,"경기도 오산시 운암로 113, 4층 401호 (오산동)",37.15636494,127.078059
오산시,체육도장업,비호경희대태권도,18125,초평동,경기도 오산시 가수동 27번지 ,경기도 오산시 가수로 72 (가수동),37.14766792,127.0457003
오산시,체육도장업,경희대드림태권도,447140,남촌동,경기도 오산시 궐동 618-3번지 정자빌딩 2층,"경기도 오산시 궐리사로29번길 10  (궐동,정자빌딩 2층)",37.160918,127.0561665
오산시,체육도장업,재규어 복싱클럽,447801,중앙동,경기도 오산시 오산동 859-5 3층 ,"경기도 오산시 오산로 264, 3층 (오산동)",37.15043685,127.0688773
오산시,체육도장업,청호 태권&점핑,447060,대원동,경기도 오산시 원동 826-2번지 오산원동프리지오상가 301호,"경기도 오산시 남부대로 411-13, 3층 301호 (원동, 오산원동프리지오상가)",37.1362236,127.0824958
오산시,체육도장업,대림 국가대표 태권도 도장,18143,대원동,경기도 오산시 원동 346-13번지 원동프라자 ,"경기도 오산시 오산로160번길 11, 원동프라자 3층 (원동)",37.14139445,127.0698617
오산시,체육도장업,광성 경희대 태권도,447240,세마동,"경기도 오산시 세교동 577-13번지 잔다리마을 휴먼시아 2단지아파트 상가동 201,202호 ","경기도 오산시 수목원로 577-13, 상가동 2층 201,202호 (세교동, 잔다리마을 휴먼시아 2단지아파트)",,
오산시,체육도장업,오산용례용무도체육관,447802,중앙동,경기도 오산시 오산동 875-3번지 5층,"경기도 오산시 오산로 241-1  (오산동,5층)",37.1484505,127.0682807
오산시,체육도장업,PEC동탄점,18111,세마동,경기도 오산시 외삼미동 177-5번지 ,경기도 오산시 북삼미로 259-24 (외삼미동),37.19704913,127.0577801
오산시,체육도장업,러스 태권도장,18114,신장동,경기도 오산시 수청동 619-7번지 ,"경기도 오산시 내삼미로79번길 24, 3층 305~6호 (수청동)",37.16983421,127.0648088
오산시,체육도장업,KTI 경희대 나우 태권도,18148,중앙동,경기도 오산시 부산동 800 오산시티자이 1단지 ,"경기도 오산시 부산중앙로 11, 상가동 201,202,203호 (부산동, 오산시티자이 1단지)",37.14887595,127.0887616
오산시,체육도장업,한라 합기도,18146,대원동,경기도 오산시 갈곶동 163-1번지 ,"경기도 오산시 오산로 50, 3층 (갈곶동)",37.13111432,127.0683671
오산시,체육도장업,화랑 합기도 특공무술,18114,신장동,경기도 오산시 수청동 620-5번지 ,"경기도 오산시 내삼미로 83, 703,704호 (수청동)",37.16964447,127.0660085
오산시,체육도장업,천명유도관,18108,신장동,경기도 오산시 금암동 502-5번지 인피니트타워 ,"경기도 오산시 문헌공로 3, 인피니트타워 203호 (금암동)",37.17452729,127.0507395
오산시,체육도장업,본주짓수오산(갈곶),18147,대원동,경기도 오산시 갈곶동 659-1 ,"경기도 오산시 오산로 91-10, 2층 (갈곶동)",37.13538268,127.0687263
오산시,체육도장업,한라 합기도,18127,초평동,"경기도 오산시 누읍동 438번지 한라그린타운아파트 (상가동) 205,2호","경기도 오산시 발안로 1364, 한라그린타운아파트 (상가동) 205,206호 (누읍동)",37.14211602,127.0495352
오산시,체육도장업,용인대운암태권도,18134,중앙동,경기도 오산시 오산동 260-1번지 청강빌딩202호 ,"경기도 오산시 운천로 89 (오산동, 청강빌딩)",37.15058258,127.0742486
오산시,체육도장업,용인대 오산 부부 백호 태권도장,18114,신장동,경기도 오산시 수청동 619-3번지 ,"경기도 오산시 내삼미로79번길 52, 404,405호 (수청동)",37.16947348,127.065394
오산시,체육도장업,경희대 삼미 태권도장,18111,세마동,경기도 오산시 외삼미동 42-1번지 ,"경기도 오산시 문시로 183-30, 3층 (외삼미동)",37.19260162,127.0655392
오산시,체육도장업,한국파워점핑줄넘기 & 경희대태권도,18109,신장동,경기도 오산시 금암동 516-4번지 P&P세교프라자 406호,"경기도 오산시 수청로 193, P&P세교프라자 406호 (금암동)",37.17652853,127.0453112
오산시,체육도장업,대무관 예신도장,18151,대원동,경기도 오산시 청호동 49번지 영재빌딩 ,"경기도 오산시 청호로 61, 영재빌딩 2층 (청호동)",37.13123096,127.0837735
오산시,체육도장업,마루한 태권도장,18146,대원동,경기도 오산시 원동 807번지 ,"경기도 오산시 경기대로 99-17 (원동, 삼환아파트)",37.13277988,127.0708332
오산시,체육도장업,용인대 청룡 태권도장,18116,신장동,"경기도 오산시 은계동 95 3층 301호,302호 ","경기도 오산시 은여울로43번길 13, 3층 (은계동, 관인은계태권도체육관)",37.15959278,127.0706949
오산시,체육도장업,한라합기도,18109,신장동,경기도 오산시 금암동 516-3번지 백현프라자 ,"경기도 오산시 수청로 197, 백현프라자 501,502호 (금암동)",37.17652491,127.0450952
오산시,체육도장업,한라합기도,18102,세마동,경기도 오산시 지곶동 산 183-1번지 ,"경기도 오산시 가장산업서북로 103-13, 3층 (지곶동)",37.17037388,127.0303536
오산시,체육도장업,강인합기도,18134,중앙동,경기도 오산시 오산동 919-17번지 ,"경기도 오산시 운암로 113, 207호 (오산동)",37.15637381,127.0779658
오산시,체육도장업,리더스태권도장,447230,세마동,경기도 오산시 외삼미동 150-1번지,경기도 오산시 외삼미로 137 (외삼미동),37.1974172,127.0604497
오산시,체육도장업,경희대 백호 태권도장,447060,대원동,"경기도 오산시 원동 813-9번지 운암프라자 401호, 402호 ",경기도 오산시 대원로 65 (원동),37.14661705,127.0757532
오산시,체육도장업,1 2 3 태권도,447300,신장동,경기도 오산시 은계동 41번지,경기도 오산시 은여울로67번길 17  (은계동),37.1608647,127.0720854
오산시,체육도장업,한국체대 올림픽 태권도장,18113,신장동,경기도 오산시 내삼미동 895번지 오산세교자이아파트 ,"경기도 오산시 삼미로 34, 301동 301호 (내삼미동, 오산세교자이아파트)",37.17471862,127.0633377
오산시,체육도장업,태권도장 청솔,447160,초평동,경기도 오산시 누읍동 555-1번지,,37.1411983,127.0458092
오산시,체육도장업,리더스 태권도장,447230,세마동,경기도 오산시 외삼미동 150-1번지 ,경기도 오산시 외삼미로 137 (외삼미동),37.19741729,127.0604498
오산시,체육도장업,용인대 대호체육관,447140,남촌동,경기도 오산시 궐동 670-7번지,경기도 오산시 궐리사로 44  (궐동),37.1597822,127.0572014
오산시,체육도장업,와우 경희대 태권도,447752,신장동,"경기도 오산시 금암동 513번지 금암마을 휴먼시아 4단지 아파트 상가동 204,205호 ","경기도 오산시 수청로 209, 상가동 2층 204,205호 (금암동, 금암마을휴먼시아 4단지 아파트)",37.17527686,127.0430922
오산시,체육도장업,이장선 복싱다이어트,447240,세마동,경기도 오산시 세교동 616-2번지 ,경기도 오산시 세마역로19번길 19 (세교동),37.18207967,127.0432535
오산시,체육도장업,문무체육관,18110,신장동,경기도 오산시 내삼미동 861-14번지 4층,"경기도 오산시 수청로 30-9 (내삼미동, 백승)",37.1731348,127.0590576
오산시,체육도장업,원동 용인대 청룡태권도장,18143,대원동,경기도 오산시 원동 404-15번지 대림프라자 ,"경기도 오산시 오산로132번길 36, 대림프라자 5층 (원동)",37.13841931,127.0727853
오산시,체육도장업,중앙 경희대석사 태권도,18133,중앙동,경기도 오산시 오산동 925-12번지 거성프라자 502호,"경기도 오산시 운암로 37 (오산동, 거성프라자)",37.1496444,127.0760036
오산시,체육도장업,힘찬 경희대 태권도,447160,초평동,경기도 오산시 누읍동 534-4번지 ,경기도 오산시 발안로 1350 (누읍동),37.14091861,127.0469796
오산시,체육도장업,단국대 석사 태권도,447310,대원동,경기도 오산시 갈곶동 659-1번지 광성빌딩 5층,"경기도 오산시 오산로 91-10, 5층 (갈곶동, 광성빌딩)",37.135313,127.0686183
오산시,체육도장업,세미 용인대 삼미 태권도&줄넘기,18112,신장동,경기도 오산시 내삼미동 141-1번지 ,경기도 오산시 삼미로47번길 89 (내삼미동),37.17536427,127.0691372
오산시,체육도장업,용인대 타이곤 태권도장,447200,초평동,경기도 오산시 서동 125-2번지 상가 301호 ,경기도 오산시 초평로 37 (서동),37.14458726,127.0430647
오산시,체육도장업,고려대 승리 태권도,447805,대원동,경기도 오산시 원동 380-1번지 3층,"경기도 오산시 밀머리로 45  (원동,3층)",37.1378681,127.0753058
오산시,체육도장업,양산키즈짐태권도장,447270,세마동,경기도 오산시 양산동 669-5번지 4층,경기도 오산시 양산로410번길 12 (양산동),37.1953647,127.0301727
오산시,체육도장업,중앙 경희 태권도장,18136,중앙동,경기도 오산시 오산동 861-7번지 ,"경기도 오산시 성호새싹길 11 (오산동, 세종학원)",37.14981016,127.0700042
오산시,체육도장업,오산 용인대 비호 태권도장,18149,대원동,경기도 오산시 원동 30-20번지 상가동 201호,"경기도 오산시 부원로 67-4 (원동, 대원아파트)",37.1427262,127.0867797
오산시,체육도장업,무진태권짐,447280,신장동,경기도 오산시 금암동 516-4번지 P&P 세교프라자 501호,"경기도 오산시 수청로 193, 5층 501호 (금암동, P&P 세교프라자 )",37.17652853,127.0453112
오산시,체육도장업,왕호랑이 태권도 도장,18143,대원동,경기도 오산시 원동 447-5번지 리치벤프라자 501호,"경기도 오산시 남부대로 327 (원동, 왕호랑이체육관)",37.13597826,127.0714213
오산시,체육도장업,용인대 궐동 하늘 태권도장,18121,남촌동,경기도 오산시 궐동 621-2번지 대호빌딩 2층 ,"경기도 오산시 궐리사로29번길 28-10 (궐동, 대호빌딩)",37.16114312,127.0566395
오산시,체육도장업,용인대 세미 태권도장,18113,신장동,경기도 오산시 내삼미동 899 ,"경기도 오산시 내삼미로 142, 205,206,207동 (내삼미동, 호반베르디움 아파트 상가)",37.1752431,127.0662469
오산시,체육도장업,경희대 한빛 태권도장,18114,신장동,경기도 오산시 수청동 617-6번지 ,"경기도 오산시 오산대역로 214, 6층 601, 602호 (수청동)",37.17085081,127.0655849
오산시,체육도장업,용인대 오산 태권도장,18144,대원동,경기도 오산시 원동 379-12번지 우주마루 101동 202호,"경기도 오산시 경기대로148번길 13, 101동 202호 (원동, 우주마루)",37.13794952,127.074867
오산시,체육도장업,박찬대 우슈 아카데미,447310,대원동,경기도 오산시 갈곶동 659-2번지 한솔프라자 상가 202호-2,"경기도 오산시 오산로 93  (갈곶동,한솔프라자 상가 202호-2)",37.1351148,127.0685281
오산시,체육도장업,오산 용인대 청룡 태권도장,447150,초평동,경기도 오산시 가수동 398-1번지 늘푸른오스카빌 상가동 301호,"경기도 오산시 가수로 31, 3층 301호 (가수동)",37.14642328,127.0488963
오산시,체육도장업,이철 꿈 대림 태권스쿨,18143,대원동,경기도 오산시 원동 404-15번지 대림프라자 502호,"경기도 오산시 오산로132번길 36, 502호 (원동, 대림프라자)",37.1385635,127.0726728
오산시,체육도장업,용인대 챔피언 체육관,18147,대원동,경기도 오산시 갈곶동 659-2번지 한솔아파트 상가 302호,경기도 오산시 오산로 93 (갈곶동),37.13511489,127.0685281
오산시,체육도장업,용인대양산태권도,447270,세마동,경기도 오산시 양산동 140번지 301호,,37.1953821,127.0325605
오산시,체육도장업,용인대 세마 태권도장,18112,신장동,"경기도 오산시 내삼미동 485번지 죽미마을휴먼시아 10단지 아파트 상가동 201,202호","경기도 오산시 수청로 140 (내삼미동, 죽미마을휴먼시아12단지아파트)",37.18032918,127.0499529
오산시,체육도장업,용인대 가훈 타이곤 태권도 도장,447733,중앙동,경기도 오산시 오산동 923-2번지 운암대동황토방아파트 상가 201~203호 ,"경기도 오산시 운암로 64, 2층 (오산동, 운암대동황토방아파트 상가 (201~203호))",37.15161644,127.0780318
오산시,체육도장업,용인대 박사 태권도장,18102,세마동,경기도 오산시 지곶동 577번지 e편한세상 ,"경기도 오산시 세마문학로 50, 212호 (지곶동, e편한세상)",37.16846928,127.0272582
오산시,체육도장업,글로리 복싱,447140,남촌동,경기도 오산시 궐동 612-1번지 대유프라자 3층,"경기도 오산시 대호로 131, 3층 (궐동, 대유프라자)",37.1618111,127.0538367
